Item_Identifier,Outlet_Identifier,Predicted_Sales
FDA15,9,4335.860577049783
FDA15,3,4384.949299460013
FDA15,0,2472.3283447391414
FDA15,1,3768.1695761911405
FDA15,5,5395.5954882037495
FDA15,7,3995.1671438364174
FDA15,2,3667.2397244086656
FDA15,8,3912.8088174337063
FDA15,6,3569.1439401595776
FDA15,4,2799.2203794961097
DRC01,9,1278.7874322182736
DRC01,3,1327.8761546285032
DRC01,0,-584.7448000923687
DRC01,1,711.0964313596303
DRC01,5,2338.52234337224
DRC01,7,938.0939990049073
DRC01,2,610.1665795771555
DRC01,8,855.735672602196
DRC01,6,512.0707953280676
DRC01,4,-257.85276533540036
FDN15,9,2613.9034685758056
FDN15,3,2662.9921909860354
FDN15,0,750.3712362651638
FDN15,1,2046.2124677171623
FDN15,5,3673.638379729772
FDN15,7,2273.210035362439
FDN15,2,1945.2826159346873
FDN15,8,2190.851708959728
FDN15,6,1847.1868316855996
FDN15,4,1077.2632710221314
FDX07,9,3346.9340681185304
FDX07,3,3396.02279052876
FDX07,0,1483.4018358078888
FDX07,1,2779.243067259887
FDX07,5,4406.668979272497
FDX07,7,3006.2406349051644
FDX07,2,2678.3132154774125
FDX07,8,2923.8823085024533
FDX07,6,2580.2174312283246
FDX07,4,1810.2938705648564
NCD19,9,1317.746463247
NCD19,3,1366.8351856572297
NCD19,0,-545.785769063642
NCD19,1,750.0554623883568
NCD19,5,2377.481374400966
NCD19,7,977.0530300336338
NCD19,2,649.125610605882
NCD19,8,894.6947036309225
NCD19,6,551.0298263567943
NCD19,4,-218.89373430667365
FDP36,9,1232.385597582525
FDP36,3,1281.4743199927545
FDP36,0,-631.1466347281171
FDP36,1,664.6945967238817
FDP36,5,2292.1205087364915
FDP36,7,891.6921643691587
FDP36,2,563.7647449414069
FDP36,8,809.3338379664474
FDP36,6,465.66896069231916
FDP36,4,-304.2545999711492
FDO10,9,1403.503124468435
FDO10,3,1452.5918468786647
FDO10,0,-460.02910784220694
FDO10,1,835.8121236097918
FDO10,5,2463.238035622401
FDO10,7,1062.8096912550689
FDO10,2,734.882271827317
FDO10,8,980.4513648523575
FDO10,6,636.7864875782293
FDO10,4,-133.13707308523863
FDP10,9,1911.6784228531521
FDP10,3,1960.767145263382
FDP10,0,48.14619054251034
FDP10,1,1343.9874219945088
FDP10,5,2971.4133340071185
FDP10,7,1570.984989639786
FDP10,2,1243.057570212034
FDP10,8,1488.6266632370748
FDP10,6,1144.9617859629461
FDP10,4,375.0382252994782
FDH17,9,2008.1150971056459
FDH17,3,2057.2038195158757
FDH17,0,144.58286479500384
FDH17,1,1440.4240962470024
FDH17,5,3067.850008259612
FDH17,7,1667.4216638922794
FDH17,2,1339.4942444645278
FDH17,8,1585.0633374895683
FDH17,6,1241.3984602154399
FDH17,4,471.4748995519717
FDU28,9,3292.480694342248
FDU28,3,3341.569416752478
FDU28,0,1428.9484620316061
FDU28,1,2724.7896934836044
FDU28,5,4352.215605496214
FDU28,7,2951.7872611288817
FDU28,2,2623.85984170113
FDU28,8,2869.4289347261706
FDU28,6,2525.764057452042
FDU28,4,1755.840496788574
FDY07,9,1101.969444897453
FDY07,3,1151.0581673076827
FDY07,0,-761.5627874131887
FDY07,1,534.2784440388098
FDY07,5,2161.7043560514194
FDY07,7,761.2760116840868
FDY07,2,433.348592256335
FDY07,8,678.9176852813755
FDY07,6,335.25280800724704
FDY07,4,-434.6707526562209
FDA03,9,2718.0672735646804
FDA03,3,2767.15599597491
FDA03,0,854.5350412540383
FDA03,1,2150.3762727060366
FDA03,5,3777.8021847186465
FDA03,7,2377.373840351314
FDA03,2,2049.446420923562
FDA03,8,2295.015513948603
FDA03,6,1951.3506366744743
FDA03,4,1181.4270760110062
FDX32,9,2623.4978829878055
FDX32,3,2672.5866053980353
FDX32,0,759.9656506771639
FDX32,1,2055.806882129162
FDX32,5,3683.232794141772
FDX32,7,2282.8044497744395
FDX32,2,1954.8770303466874
FDX32,8,2200.4461233717284
FDX32,6,1856.7812460975997
FDX32,4,1086.8576854341316
FDS46,9,2295.060155744811
FDS46,3,2344.14887815504
FDS46,0,431.52792343416877
FDS46,1,1727.3691548861673
FDS46,5,3354.795066898777
FDS46,7,1954.366722531444
FDS46,2,1626.4393031036923
FDS46,8,1872.008396128733
FDS46,6,1528.3435188546046
FDS46,4,758.4199581911364
FDF32,9,3459.869589578965
FDF32,3,3508.9583119891945
FDF32,0,1596.3373572683229
FDF32,1,2892.1785887203214
FDF32,5,4519.604500732931
FDF32,7,3119.176156365598
FDF32,2,2791.248736937847
FDF32,8,3036.817829962887
FDF32,6,2693.152952688759
FDF32,4,1923.2293920252907
FDP49,9,1294.028573245757
FDP49,3,1343.1172956559865
FDP49,0,-569.5036590648851
FDP49,1,726.3375723871136
FDP49,5,2353.763484399723
FDP49,7,953.3351400323907
FDP49,2,625.4077206046388
FDP49,8,870.9768136296793
FDP49,6,527.3119363555511
FDP49,4,-242.61162430791683
NCB42,9,2268.5515916771146
NCB42,3,2317.6403140873444
NCB42,0,405.0193593664726
NCB42,1,1700.860590818471
NCB42,5,3328.2865028310807
NCB42,7,1927.8581584637482
NCB42,2,1599.9307390359963
NCB42,8,1845.499832061037
NCB42,6,1501.8349547869086
NCB42,4,731.9113941234405
DRI11,9,2200.316443797658
DRI11,3,2249.4051662078878
DRI11,0,336.78421148701614
DRI11,1,1632.6254429390146
DRI11,5,3260.0513549516245
DRI11,7,1859.6230105842917
DRI11,2,1531.6955911565399
DRI11,8,1777.2646841815806
DRI11,6,1433.5998069074521
DRI11,4,663.676246243984
FDU02,9,3867.5408554795176
FDU02,3,3916.6295778897475
FDU02,0,2004.0086231688756
FDU02,1,3299.8498546208743
FDU02,5,4927.275766633484
FDU02,7,3526.8474222661516
FDU02,2,3198.9200028383993
FDU02,8,3444.48909586344
FDU02,6,3100.824218589312
FDU02,4,2330.900657925844
FDN22,9,4227.422517286659
FDN22,3,4276.511239696889
FDN22,0,2363.890284976017
FDN22,1,3659.7315164280158
FDN22,5,5287.157428440625
FDN22,7,3886.729084073293
FDN22,2,3558.8016646455408
FDN22,8,3804.3707576705815
FDN22,6,3460.7058803964533
FDN22,4,2690.7823197329853
FDW12,9,2737.4255115300502
FDW12,3,2786.5142339402796
FDW12,0,873.8932792194082
FDW12,1,2169.7345106714065
FDW12,5,3797.1604226840163
FDW12,7,2396.7320783166833
FDW12,2,2068.804658888932
FDW12,8,2314.3737519139727
FDW12,6,1970.708874639844
FDW12,4,1200.7853139763758
NCB30,9,3499.2994722472895
NCB30,3,3548.3881946575193
NCB30,0,1635.7672399366475
NCB30,1,2931.6084713886457
NCB30,5,4559.034383401256
NCB30,7,3158.6060390339235
NCB30,2,2830.678619606171
NCB30,8,3076.247712631212
NCB30,6,2732.5828353570832
NCB30,4,1962.6592746936153
FDC37,9,2065.0430269499325
FDC37,3,2114.1317493601623
FDC37,0,201.51079463929068
FDC37,1,1497.3520260912892
FDC37,5,3124.777938103899
FDC37,7,1724.349593736566
FDC37,2,1396.4221743088144
FDC37,8,1641.9912673338551
FDC37,6,1298.3263900597267
FDC37,4,528.4028293962585
FDR28,9,3038.4012094880572
FDR28,3,3087.4899318982866
FDR28,0,1174.868977177415
FDR28,1,2470.7102086294135
FDR28,5,4098.136120642023
FDR28,7,2697.7077762746903
FDR28,2,2369.780356846939
FDR28,8,2615.3494498719792
FDR28,6,2271.684572597851
FDR28,4,1501.7610119343829
NCD06,9,1019.251603760873
NCD06,3,1068.3403261711026
NCD06,0,-844.2806285497691
NCD06,1,451.5606029022297
NCD06,5,2078.986514914839
NCD06,7,678.5581705475067
NCD06,2,350.6307511197549
NCD06,8,596.1998441447954
NCD06,6,252.53496687066718
NCD06,4,-517.3885937928007
FDV10,9,1119.9609117304567
FDV10,3,1169.0496341406863
FDV10,0,-743.5713205801853
FDV10,1,552.2699108718134
FDV10,5,2179.6958228844233
FDV10,7,779.2674785170905
FDV10,2,451.34005908933864
FDV10,8,696.9091521143791
FDV10,6,353.2442748402509
FDV10,4,-416.67928582321747
DRJ59,9,1050.2149230057787
DRJ59,3,1099.3036454160083
DRJ59,0,-813.3173093048636
DRJ59,1,482.5239221471354
DRJ59,5,2109.949834159745
DRJ59,7,709.5214897924125
DRJ59,2,381.59407036466064
DRJ59,8,627.1631633897011
DRJ59,6,283.4982861155727
DRJ59,4,-486.42527454789524
